Index,image_url,image_description,image_size,userID,screenname,avatar_url,avatarimage_size,Province,City,Lat,Lon,CityName,Location,Gender,Followers_count,Friends_count,Favourites_count,Credit_Score,Urank,Category
1,http://ww1.sinaimg.cn/mw1024/68cca587jw1epydccctesj20ku0rsdku.jpg,像个小疯子，38快乐！<strong>#随手拍黑烟囱#</strong>,"(750, 1000)",1758242183,曹赢心Princess,http://ww4.sinaimg.cn/crop.0.0.512.512.1024/68cca587jw8er4730s1l2j20e80e8wf5.jpg,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,f,330,None,71,80,24,activechimney
2,http://ww2.sinaimg.cn/mw1024/a28b8489jw1epxjiikmrqj20yi1a0wtj.jpg,<strong>#随手拍黑烟囱#为了环保我不再吃大蒜</strong>,"(1024, 1365)",2727052425,代号_如花,http://ww1.sinaimg.cn/crop.0.0.1242.1242.1024/a28b8489jw8eo81gsx7t9j20yi0yiq5h.jpg,"(50, 50)",100,1000,,,Unknown,其他,f,14,None,3,76,20,activechimney
5,http://ww2.sinaimg.cn/mw1024/e6a4192fjw1eqkqkz29y4j20h80bhjrx.jpg,<strong>#随手拍黑烟囱#</strong>,"(620, 413)",3869514031,游小波good,http://ww1.sinaimg.cn/crop.0.0.720.720.1024/e6a4192fjw8eiksy1za68j20k00k00tp.jpg,"(50, 50)",71,1,25.091075,121.5598345,Táiběishì 台北市,台湾 台北市,f,3,None,1,80,None,activechimney
6,http://ww2.sinaimg.cn/mw1024/94993cd1jw1eqfkkkhfljj20hs0hs3zo.jpg,<strong>#随手拍黑烟囱#这件小礼物竟然和我这</strong>,"(640, 640)",2493070545,ddgcgfz,http://ww4.sinaimg.cn/crop.0.0.1536.1536.1024/94993cd1jw8era5iwdvxpj216o16odqi.jpg,"(50, 50)",44,9,21.662999,110.925456,Màomíng 茂名,广东 茂名,m,175,None,5,80,16,activechimney
7,http://ww4.sinaimg.cn/mw1024/9054a43bjw1eq7wntr74rj218g0xcdmj.jpg,我怕草原不会有蓝天<strong>#随手拍黑烟囱# |翠杨路</strong>,"(1024, 768)",2421466171,振奋的小青年,http://ww4.sinaimg.cn/crop.0.0.720.720.1024/9054a43bjw8ehcrmjtgo4j20k00k00u0.jpg,"(50, 50)",15,7,49.211572,119.765739,Hūlúnbèi'ěr 呼伦贝尔,内蒙古 呼伦贝尔,f,70,None,18,80,16,activechimney
8,http://ww1.sinaimg.cn/mw1024/6e3f983ejw1eq39p8xi86j20hs0noacr.jpg,不想，得不到，就不要<strong>#随手拍黑烟囱#</strong>,"(640, 852)",1849661502,失意釹王,http://ww1.sinaimg.cn/crop.0.1.640.640.1024/6e3f983ejw8el4p4pyf9gj20hs0hu0ug.jpg,"(50, 50)",33,2,29.868336,121.54399,Níngbō 宁波,浙江 宁波,f,42,None,35,80,19,activechimney
9,http://ww2.sinaimg.cn/mw1024/005A3hnQjw1eq21t981m5j30dc0hs0td.jpg,多东西吃。好爽啊，，<strong>#随手拍黑烟囱#</strong>,"(480, 640)",5113394066,米色尘霓,http://ww4.sinaimg.cn/crop.0.0.540.540.1024/005A3hnQjw8er7f1bd11oj30f00f0wf9.jpg,"(50, 50)",34,1,31.821448,117.227271,Héféi 合肥,安徽 合肥,f,22,None,1,80,12,activechimney
12,http://ww4.sinaimg.cn/mw1024/7e2f4dcfjw1eq0nqporisj20u00u0gqk.jpg,<strong>#随手拍黑烟囱#</strong>,"(1024, 1024)",2117029327,小地瓜麻咪,http://ww1.sinaimg.cn/crop.0.0.640.640.1024/7e2f4dcfjw8epr88pif82j20hs0htq3k.jpg,"(50, 50)",100,1000,,,Unknown,其他,f,219,None,1290,80,21,activechimney
13,http://ww2.sinaimg.cn/mw1024/76267555jw1eq0ma0ohkbj20dc0hswgg.jpg,<strong>#随手拍黑烟囱#</strong>,"(480, 640)",1982231893,愛咋樣就咋樣_apple,http://ww4.sinaimg.cn/crop.0.0.512.512.1024/76267555jw8eqo2hzfne3j20e80e83za.jpg,"(50, 50)",400,16,,,Unknown,海外 其他,f,154,None,346,80,27,activechimney
14,http://ww1.sinaimg.cn/mw1024/9125401cjw1eq0jo0tx26j20dc0hs3zw.jpg,<strong>#随手拍黑烟囱#早上的太阳很好</strong>,"(480, 640)",2435137564,melusha,http://tp1.sinaimg.cn/2435137564/180/5645426275/0,"(50, 50)",37,7,36.706691,119.16193,Wéifāng 潍坊,山东 潍坊,f,731,None,None,80,18,activechimney
16,http://ww3.sinaimg.cn/mw1024/71b8dcebjw1eq0evnazdkj20hs0nodl3.jpg,想念我们大东北的太阳<strong>#随手拍黑烟囱#</strong>,"(640, 852)",1907940587,纤纤君子是也,http://ww1.sinaimg.cn/crop.0.0.640.640.1024/71b8dcebjw8er8791ktnvj20hs0hsmxb.jpg,"(50, 50)",100,1000,,,Unknown,其他,f,92,None,5,80,17,activechimney
17,http://ww1.sinaimg.cn/mw1024/859bd5ddjw1eq0ck5ibhlj20k00qon0v.jpg,<strong>#随手拍黑烟囱#久违的蓝天白云，天气</strong>,"(720, 960)",2241582557,韩蒋杰HTT,http://tp2.sinaimg.cn/2241582557/180/5663381866/1,"(50, 50)",33,4,30.753924,120.758543,Jiāxīng 嘉兴,浙江 嘉兴,m,123,None,43,80,18,activechimney
18,http://ww1.sinaimg.cn/mw1024/4d355b12jw1eq0bt8epn4j20f00qomy9.jpg,<strong>#随手拍黑烟囱#这算黑烟囱吗？</strong>,"(540, 960)",1295342354,任文,http://tp3.sinaimg.cn/1295342354/180/5657950659/1,"(50, 50)",11,1000,39.9042140,116.4074130,Unknown,北京,m,345,None,67,72,24,activechimney
19,http://ww3.sinaimg.cn/mw1024/72a2b625jw1eq0a4aq56rj20c30lin0c.jpg,不到的空气净化器滤网<strong>#随手拍黑烟囱#</strong>,"(435, 774)",1923266085,xiao小guang,http://ww3.sinaimg.cn/crop.0.0.1080.1080.1024/72a2b625jw8eqz1e3lqb3j20u00u0mz3.jpg,"(50, 50)",11,8,39.95971,116.298012,Hǎidiànqū 海淀区,北京 海淀区,f,87,None,303,80,24,activechimney
20,http://ww4.sinaimg.cn/mw1024/674d673fjw1eq09jqmqc9j20e00hsn0e.jpg,<strong>#随手拍黑烟囱#………</strong>,"(504, 640)",1733125951,鹣鹣鲽鲽,http://tp4.sinaimg.cn/1733125951/180/1294411088/0,"(50, 50)",37,16,37.38199,117.970703,Bīnzhōu 滨州,山东 滨州,f,942,None,1520,80,28,activechimney
21,http://ww3.sinaimg.cn/mw1024/caf6f8d8jw1eq00v0numdj20hr0npq73.jpg,<strong>#随手拍黑烟囱#不爱抽烟，酒漂亮，喜</strong>,"(639, 853)",3405183192,Dylan-雨泽,http://ww2.sinaimg.cn/crop.0.0.720.720.1024/caf6f8d8jw8eiw0b8a269j20k00k0dgt.jpg,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,m,141,None,1,80,13,activechimney
22,http://ww3.sinaimg.cn/mw1024/cd1d3df0jw1epzxun17efj20qo0zkap0.jpg,"<strong>#随手拍黑烟囱#You need, I'll be t</strong>","(960, 1280)",3441245680,别和我开无理取闹的玩笑,http://ww4.sinaimg.cn/crop.0.0.640.640.1024/cd1d3df0jw8eokneof9g6j20hs0hsgml.jpg,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,f,10,None,4,80,16,activechimney
