Index,image_url,image_description,image_size,userID,screenname,avatar_url,avatarimage_size,Province,City,Lat,Lon,CityName,Location,Gender,Followers_count,Friends_count,Favourites_count,Credit_Score,Urank,Category
1,http://ww4.sinaimg.cn/mw1024/8377bf05tw1erbu5hzb0pj20dw099gmq.jpg, 凝聚治气合力才为王道 http://t.cn/RAOX8Y4,"(500, 333)",2205662981,李沧环保,http://tp2.sinaimg.cn/2205662981/180/22846460619/0,"(50, 50)",37,2,36.06722,120.382504,Qīngdǎo 青岛,山东 青岛,f,1212,None,4,80,16,airpollution
2,http://ww1.sinaimg.cn/mw1024/483580a6jw1er44zfzwjvj218g0xcami.jpg,洁面泡沫替换装。应对大气污染资生堂也尽力了,"(1024, 768)",1211465894,pheadrus,http://ww1.sinaimg.cn/crop.27.3.427.427.1024/483580a6jw1ei6cfd6z2cj20dc0dc763.jpg,"(50, 50)",11,1000,39.9042140,116.4074130,Unknown,北京,f,68,None,12,80,24,airpollution
3,http://ww1.sinaimg.cn/mw1024/5131c095jw1eqzhz97df5j22io1w0x6s.jpg,大气污染！,"(1024, 768)",1362215061,奥德赛黎明fx,http://tp2.sinaimg.cn/1362215061/180/5633571595/1,"(50, 50)",37,13,35.051712,118.347707,Línyí 临沂,山东 临沂,m,9,None,None,80,15,airpollution
4,http://ww3.sinaimg.cn/mw1024/699e9c43jw1eqvo74drxjj20dc0hsdgz.jpg,大气污染来源 |葛沽互通立...,"(480, 640)",1772002371,-静雯哥,http://ww1.sinaimg.cn/crop.0.1.510.510.1024/699e9c43jw8erd9y61rgfj20e60e8q3j.jpg,"(50, 50)",13,2,39.630476,118.180407,Tángshān 唐山,河北 唐山,f,232,None,30,80,21,airpollution
5,http://ww3.sinaimg.cn/mw1024/be6bdb92jw1epu4pqt13mj20fb09igm8.jpg,（分享自 @2ch中文网） http://t.cn/RwRpPW9,"(551, 342)",3194739602,2ch中文网,http://ww2.sinaimg.cn/crop.0.0.119.119.1024/be6bdb92jw1ecsbsb1fg5j203c03c0sl.jpg,"(50, 50)",400,15,35.1463817,139.6163234,Rìběn 日本,海外 日本,m,27,None,26,80,20,airpollution
6,http://ww2.sinaimg.cn/mw1024/611e2cf8jw1epo5h19mp6j218g18ggro.jpg,导，共治大气污染】（图via网友 @播音马静 ）,"(1024, 1024)",1629367544,承德本地通,http://ww4.sinaimg.cn/crop.19.0.140.140.1024/611e2cf8tw1e9ah353vozj2050050jrm.jpg,"(50, 50)",13,8,40.954071,117.962411,Chéngdé 承德,河北 承德,m,884,None,None,80,17,airpollution
7,http://ww4.sinaimg.cn/mw1024/e73cf2ecgw1eqhyxff1hkj21kw23u4jl.jpg,亲，你知道吗？“史上最严大气污染防治条例”,"(1024, 1365)",3879531244,幕府山北崮山社区,http://ww3.sinaimg.cn/crop.117.1.848.848.1024/e73cf2ecgw1eb5bwzryj2j20vk0no7eg.jpg,"(50, 50)",32,1,32.060255,118.796877,Nánjīng 南京,江苏 南京,m,126,None,2,80,15,airpollution
9,http://ww2.sinaimg.cn/mw1024/9bf769d5jw1eqcgtvhki9j20hs0npq60.jpg,家新能源的号召 减少大气污染 我终于买了它！,"(640, 853)",2616682965,笑抽的脸,http://ww2.sinaimg.cn/crop.0.0.1080.1080.1024/9bf769d5jw8ep6fe9p6ybj20u00u00w0.jpg,"(50, 50)",42,1,30.593087,114.305357,Wǔhàn 武汉,湖北 武汉,m,39,None,98,80,17,airpollution
10,http://ww3.sinaimg.cn/mw1024/c033f9a3jw1eq5ed2xkyrj20dc0hsmy3.jpg,吧 大气污染何时能彻底改好? |体育大街口...,"(480, 640)",3224631715,哎我的天哎,http://ww3.sinaimg.cn/crop.0.0.1242.1242.1024/c033f9a3jw8eqrdarr16aj20yi0yijtt.jpg,"(50, 50)",37,2,36.06722,120.382504,Qīngdǎo 青岛,山东 青岛,f,33,None,71,80,12,airpollution
11,http://ww2.sinaimg.cn/mw1024/e91605f5jw1epv276kq9wj218g0p0n2a.jpg,花燃放后的大气污染也是蛮严重的！ |微博视频,"(1024, 576)",3910534645,流年过往里,http://ww4.sinaimg.cn/crop.0.0.540.540.1024/e91605f5jw8eqtt4iih4hj20f00f0glw.jpg,"(50, 50)",37,13,35.051712,118.347707,Línyí 临沂,山东 临沂,f,36,None,1,80,12,airpollution
12,http://ww4.sinaimg.cn/mw1024/6debbf23jw1epsx5vi78yj20dc0hrdgd.jpg,气污染 http://t.cn/RwQDgoZ @凤凰新闻客户端,"(480, 639)",1844166435,A抵制日货,http://tp4.sinaimg.cn/1844166435/180/5613983524/1,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,m,299,None,150,80,26,airpollution
13,http://ww4.sinaimg.cn/mw1024/005tdyvpjw1eprehlbwlwj30qo0zk41n.jpg,区召开全区大气污染防治攻坚动员会@临沂环境,"(960, 1280)",5012408811,兰山环境,http://ww4.sinaimg.cn/crop.0.0.1187.1187.1024/005tdyvptw1ednb5qdp25j30x30x9ter.jpg,"(50, 50)",37,13,35.051712,118.347707,Línyí 临沂,山东 临沂,m,91,None,1,80,11,airpollution
14,http://ww1.sinaimg.cn/mw1024/68c1f799jw1epqh0v9re5j20xc18gk0o.jpg,今天的大气污染度能跟年三十想媲美！,"(1024, 1365)",1757542297,晓蛮腰一定要过TEM8,http://ww3.sinaimg.cn/crop.0.1.640.640.1024/68c1f799jw8ejkhxx2iv7j20hs0hugmf.jpg,"(50, 50)",33,4,30.753924,120.758543,Jiāxīng 嘉兴,浙江 嘉兴,f,83,None,76,80,23,airpollution
16,http://ww1.sinaimg.cn/mw1024/a0654f8fjw1epdohc99r1j218g0xc7e3.jpg,持续半小时的制造大气污染时间,"(1024, 768)",2690994063,蓝颜亦是,http://ww3.sinaimg.cn/crop.0.0.374.374.1024/a0654f8fjw8el8gi7ukzcj20ae0aedg5.jpg,"(50, 50)",41,9,35.762141,115.029331,Púyáng 濮阳,河南 濮阳,m,183,None,17,80,21,airpollution
17,http://ww1.sinaimg.cn/mw1024/e4d1a131jw1ep2uweui4bj20dc0hsabu.jpg,这大气污染的被指使来陪考 |东营市驾考...,"(480, 640)",3838943537,吴米米Forever-Z,http://ww3.sinaimg.cn/crop.0.0.750.750.1024/e4d1a131jw8er9i5knu4rj20ku0kvq4n.jpg,"(50, 50)",37,5,37.434751,118.674767,Dōngyíng 东营,山东 东营,f,101,None,60,80,13,airpollution
18,http://ww4.sinaimg.cn/mw1024/823feb67jw1eoy5iflng7j20hs0npdgk.jpg,大气污染 |金雀山路,"(640, 853)",2185227111,小人国lc,http://ww2.sinaimg.cn/crop.3.141.536.536.1024/823feb67jw8eock15iv1lj20f00qogmr.jpg,"(50, 50)",37,1,36.665282,116.994917,Jǐnán 济南,山东 济南,f,31,None,5,80,12,airpollution
19,http://ww3.sinaimg.cn/mw1024/dcf6803fgw1eoq3mk92k9j20gn09bta2.jpg,重中之重： 治理大气污染http://t.cn/RZ1yO6C,"(599, 335)",3707142207,蚌埠广播电视台,http://ww2.sinaimg.cn/crop.0.1.700.700.1024/dcf6803fgw1el6xgkzeq2j20jq0jjq3o.jpg,"(50, 50)",34,3,32.916287,117.389719,Bèngbù 蚌埠,安徽 蚌埠,m,50,None,1,80,16,airpollution
20,http://ww2.sinaimg.cn/mw1024/53c1ae53jw1eon5bo29kkj20b50b5dgq.jpg,经济政策，引导降低机动车使用强度，从而削…,"(401, 401)",1405202003,王强de私人牧场,http://tp4.sinaimg.cn/1405202003/180/5615627554/1,"(50, 50)",11,1,39.928584,116.416373,Dōngchéngqū 东城区,北京 东城区,m,378,None,8,80,20,airpollution
21,http://ww2.sinaimg.cn/mw1024/005DWUgbjw1enjm343k55j30hs0npwf6.jpg,执行发布会～进行时……@莱芜日报 @莱芜环境,"(640, 853)",5170980555,大莱芜小记者,http://ww1.sinaimg.cn/crop.68.0.420.420.1024/005DWUgbtw1ej0cwdnom9j30fu0bydhs.jpg,"(50, 50)",37,12,36.213691,117.676731,Láiwú 莱芜,山东 莱芜,m,758,None,4,80,14,airpollution
22,http://ww3.sinaimg.cn/mw1024/6960ce17jw1emzr7si0u6j20go0om404.jpg,子。  @百思不得姐应用  http://t.cn/Rz9bOmg,"(600, 886)",1767951895,丑乖丑乖的云轩,http://ww1.sinaimg.cn/crop.0.0.511.511.1024/6960ce17jw8epru71rzq6j20e70e8gm3.jpg,"(50, 50)",51,1,30.658601,104.064856,Chéngdū 成都,四川 成都,m,505,None,33,80,16,airpollution
24,http://ww4.sinaimg.cn/mw1024/89641eadjw1endpyw1ysfj20qo0f0q3p.jpg,大气污染。 |S32申嘉湖...,"(960, 540)",2305040045,杨娃娃_Jasmine,http://ww4.sinaimg.cn/crop.0.0.720.720.1024/89641eadjw8el6zirmv8wj20k00k0wfw.jpg,"(50, 50)",31,15,31.221959,121.544721,Pǔdōngxīnqū 浦东新区,上海 浦东新区,f,142,None,57,80,17,airpollution
25,http://ww2.sinaimg.cn/mw1024/d84236f6jw1ergfsdt68qj20hs0dc0vk.jpg,大气污染治理#我们在行动#机动车检测,"(640, 480)",3628218102,临沂经济区环境,http://ww4.sinaimg.cn/crop.0.0.640.640.1024/d84236f6jw8eh4900fpdzj20hs0hs3ze.jpg,"(50, 50)",400,16,,,Unknown,海外 其他,m,293,None,4,80,16,airpollution
26,http://ww1.sinaimg.cn/mw1024/4df9480ejw1er86qakh07j20b20go40j.jpg, （分享来自 @大河网） http://t.cn/RACAdpM,"(398, 600)",1308182542,秦名芳,http://tp3.sinaimg.cn/1308182542/180/1291529336/1,"(50, 50)",41,5,36.097593,114.392756,Ānyáng 安阳,河南 安阳,m,1689,None,22,80,24,airpollution
27,http://ww2.sinaimg.cn/mw1024/4981869cjw1er5idq8r9yj20b407ewf2.jpg, （分享自 @新浪重庆） http://t.cn/RAKuP6K,"(400, 266)",1233225372,润一_wang,http://tp1.sinaimg.cn/1233225372/180/5597933103/1,"(50, 50)",50,5,29.606521,106.574161,Jiāngběiqū 江北区,重庆 江北区,m,56,None,677,80,16,airpollution
28,http://ww4.sinaimg.cn/mw1024/e2ad2105jw1er3za60tr0j20hs0bp76j.jpg,案 涉案公司被判罚245万 http://t.cn/RAowoae,"(640, 421)",3802996997,胡顺安博客,http://ww4.sinaimg.cn/crop.108.12.430.430.1024/e2ad2105jw1e8rfmmhmn2j20j60cqwgy.jpg,"(50, 50)",11,1,39.928584,116.416373,Dōngchéngqū 东城区,北京 东城区,m,308,None,None,80,17,airpollution
31,http://ww2.sinaimg.cn/mw1024/a3d2ba81jw1eqskpk3tq2j216o1kwn9w.jpg,污染 环境破坏  如此呼吸？人类将如何生存！,"(1024, 1365)",2748496513,Fko追求完美,http://ww2.sinaimg.cn/crop.59.0.232.232.1024/a3d2ba81jw8eqarguzqbfj209q06gwet.jpg,"(50, 50)",41,1,34.7466,113.625368,Zhèngzhōu 郑州,河南 郑州,f,15,None,60,80,16,airpollution
32,http://ww2.sinaimg.cn/mw1024/699e4b0djw1eqk24sot62j20hs0dcmye.jpg,大气污染,"(640, 480)",1771981581,小SA瓜的田田,http://ww4.sinaimg.cn/crop.0.0.668.668.1024/699e4b0djw8eo2jh6e0xbj20ik0ildhi.jpg,"(50, 50)",34,1,31.821448,117.227271,Héféi 合肥,安徽 合肥,f,3,None,412,80,17,airpollution
33,http://ww4.sinaimg.cn/mw1024/baa38867jw1eqhvokw8ebj20xc18gwld.jpg,大气污染 |南京路,"(1024, 1365)",3131279463,逛街小耗子,http://tp4.sinaimg.cn/3131279463/180/22829010678/1,"(50, 50)",37,13,35.051712,118.347707,Línyí 临沂,山东 临沂,m,60,None,1,80,7,airpollution
34,http://ww2.sinaimg.cn/mw1024/005tdyvpjw1eqelznj59fj30np0hsabh.jpg,们一直在努力！@临沂环境 @山东环境 |205国道,"(853, 640)",5012408811,兰山环境,http://ww4.sinaimg.cn/crop.0.0.1187.1187.1024/005tdyvptw1ednb5qdp25j30x30x9ter.jpg,"(50, 50)",37,13,35.051712,118.347707,Línyí 临沂,山东 临沂,m,91,None,1,80,11,airpollution
35,http://ww2.sinaimg.cn/mw1024/d6a23de7jw1epb6s5mj12j20np0hs75d.jpg,全市大气污染防治攻坚动员部署会议马上开始,"(853, 640)",3600956903,临沂环境,http://ww3.sinaimg.cn/crop.0.0.350.350.1024/d6a23de7jw8eosn7tzfy0g209q09qjs6.gif,"(50, 50)",37,13,35.051712,118.347707,Línyí 临沂,山东 临沂,f,558,None,29,80,20,airpollution
36,http://ww4.sinaimg.cn/mw1024/7e153b18jw1eq0dppw6s8j20dc0hsdhq.jpg,这个大气污染太狠了！,"(480, 640)",2115320600,李路新同學,http://ww2.sinaimg.cn/crop.0.0.640.640.1024/7e153b18jw8efksjwozasj20hs0hsdhw.jpg,"(50, 50)",34,18,30.940718,118.758816,Xuānchéng 宣城,安徽 宣城,m,29,None,None,80,14,airpollution
38,http://ww1.sinaimg.cn/mw1024/a4dd2fb7jw1epsq3x8ibdj20xc18g7ev.jpg,这就是大气污染。。。 |G2京沪高速,"(1024, 1365)",2765959095,镶金边的棒棒糖,http://ww4.sinaimg.cn/crop.0.1.640.640.1024/a4dd2fb7jw8ep7ehrxejyj20hs0humxw.jpg,"(50, 50)",12,23,38.94755,116.974363,Jìnghǎixiàn 静海县,天津 静海县,m,54,None,11,80,16,airpollution
39,http://ww4.sinaimg.cn/mw1024/8c305b82jw1epre8yppj0j20qo0zkdv3.jpg,环境破坏 人类将如何生存#美颜相机iPhone版#,"(960, 1280)",2351979394,大墩丶,http://tp3.sinaimg.cn/2351979394/180/40018803241/0,"(50, 50)",31,15,31.221959,121.544721,Pǔdōngxīnqū 浦东新区,上海 浦东新区,f,853,None,49,80,19,airpollution
40,http://ww2.sinaimg.cn/mw1024/7738701fjw1epq9dd1t84j20wy18ggrg.jpg,大气污染吗？每天晚上金纬路与金钟路口烧烤。,"(1024, 1381)",2000187423,擎真师傅,http://ww2.sinaimg.cn/crop.0.0.1080.1080.1024/7738701fjw8eg5kt6lbokj20u00u00v1.jpg,"(50, 50)",62,6,37.928336,102.638009,Wǔwēi 武威,甘肃 武威,m,37,None,43,80,21,airpollution
42,http://ww3.sinaimg.cn/mw1024/6ca052abjw1ep9vb9z1qrj20f00qo753.jpg,论哈尔滨地区大气污染中的城乡差异,"(540, 960)",1822446251,芥末先生Rio,http://ww3.sinaimg.cn/crop.0.0.720.720.1024/6ca052abjw8er7txkn6djj20k00k0my1.jpg,"(50, 50)",11,6,39.858494,116.286322,Fēngtáiqū 丰台区,北京 丰台区,m,118,None,9,80,25,airpollution
43,http://ww3.sinaimg.cn/mw1024/70c2665fjw1ep1wj6i62hj20hs0dcq42.jpg,大气污染！,"(640, 480)",1891788383,苏酱酱日本代购,http://ww2.sinaimg.cn/crop.0.0.512.512.1024/70c2665fjw8eppwv8ew0mj20e80e8dgm.jpg,"(50, 50)",100,1000,,,Unknown,其他,f,79,None,15,80,18,airpollution
44,http://ww2.sinaimg.cn/mw1024/a6cba350jw1eovxj11z82j20bc0hm78m.jpg,：新闻天下_中国妇女报 http://t.cn/RZFislP,"(408, 634)",2798363472,南京妇联,http://ww3.sinaimg.cn/crop.0.0.180.180.1024/a6cba350jw1ena4rcxgy6j2050050dg4.jpg,"(50, 50)",32,1,32.060255,118.796877,Nánjīng 南京,江苏 南京,f,399,None,10,80,21,airpollution
45,http://ww3.sinaimg.cn/mw1024/c7efff38tw1eop9397coyj21kw11x7dj.jpg,董秀娟通报2014年全省大气污染防治工作情况。,"(1024, 683)",3354394424,山东环境,http://ww1.sinaimg.cn/crop.0.0.199.199.1024/c7efff38jw1elqpa0tft2g205k05k74b.gif,"(50, 50)",37,1000,36.668627,117.020411,Unknown,山东,m,396,None,159,80,21,airpollution
