Index,image_url,image_description,image_size,userID,screenname,avatar_url,avatarimage_size,Province,City,Lat,Lon,CityName,Location,Gender,Followers_count,Friends_count,Favourites_count,Credit_Score,Urank,Category
1,http://ww2.sinaimg.cn/mw1024/7055b135jw1erawp1rxnbj201a01hdfl.jpg,思齐湖 <strong>赤潮</strong>了,"(46, 53)",1884664117,Doooovo,http://tp2.sinaimg.cn/1884664117/180/40023655302/0,"(50, 50)",44,51,23.656972,116.622597,Cháozhōu 潮州,广东 潮州,f,181,None,1632,80,24,algalbloom
2,http://ww1.sinaimg.cn/mw1024/621573d1jw1epcnsd4wvej20xc18g4a8.jpg,北海的<strong>赤潮</strong>，海水污染环境污染问题真,"(1024, 1365)",1645573073,八斤家的小事儿,http://ww3.sinaimg.cn/crop.0.0.640.640.1024/621573d1jw8ejud5fmr3rj20hs0hsaam.jpg,"(50, 50)",44,20,22.516686,113.392795,Zhōngshān 中山,广东 中山,f,44,None,66,80,24,algalbloom
3,http://ww3.sinaimg.cn/mw1024/6c3d2ed5jw1eoqsjl5bbqj20bd0go43c.jpg,》：记得一句。生命是一场<strong>赤潮</strong>。酷酷酷。 ★★★★ http,"(409, 600)",1815949013,卫卫长,http://ww2.sinaimg.cn/crop.45.24.264.264.1024/6c3d2ed5gw1elneplv38tj20c80c8gly.jpg,"(50, 50)",33,7,29.079059,119.647445,Jīnhuá 金华,浙江 金华,m,55,None,9,80,20,algalbloom
4,http://ww2.sinaimg.cn/mw1024/3bfde080jw1eo75qywkxyj20sg0sg10h.jpg,广东珠海<strong>赤潮</strong>瀑发海水变红色！  http:/,"(1024, 1024)",1006493824,丹子2013,http://ww3.sinaimg.cn/crop.0.0.320.320.1024/3bfde080jw8eqsxp82t0cj208w08wglt.jpg,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,m,407,None,1156,80,24,algalbloom
5,http://ww4.sinaimg.cn/mw1024/6cc771d3jw1eo6ubxmc35j20dw07smz3.jpg,如果<strong>赤潮</strong>能够被人类所控制并加以利,"(500, 280)",1825010131,水网,http://tp4.sinaimg.cn/1825010131/180/1285945154/0,"(50, 50)",11,1,39.928584,116.416373,Dōngchéngqū 东城区,北京 东城区,f,637,None,32,80,22,algalbloom
6,http://ww3.sinaimg.cn/mw1024/92b694aejw1empnxnhg9uj20nm0fr414.jpg,图：深圳大梅沙再现大面积<strong>赤潮</strong> 海水变红色】 （分享自 @,"(850, 567)",2461439150,远海一帆,http://tp3.sinaimg.cn/2461439150/180/5613314020/1,"(50, 50)",31,1000,31.230393,121.473704,Unknown,上海,m,27,None,843,80,13,algalbloom
7,http://ww2.sinaimg.cn/mw1024/99a11ccajw1er9kl7v0aaj218g0p0gr7.jpg,我家的水族箱要<strong>赤潮</strong>了,"(1024, 576)",2577472714,咔灰啊,http://tp3.sinaimg.cn/2577472714/180/5667530819/0,"(50, 50)",11,2,39.912445,116.36561,Xīchéngqū 西城区,北京 西城区,f,38,None,4207,80,24,algalbloom
8,http://ww1.sinaimg.cn/mw1024/005tQzkVjw1epbaa5w8j1j318g18gwvo.jpg,虽然在地理书上看到过<strong>赤潮</strong> 但从未看到真正的,"(1024, 1024)",5021706797,李梓萌Grace,http://ww2.sinaimg.cn/crop.30.0.153.153.1024/005tQzkVjw8eqxzbvwzh5j305k05kjrg.jpg,"(50, 50)",44,3,22.543099,114.057868,Shēnzhèn 深圳,广东 深圳,f,25,None,1,80,11,algalbloom
9,http://ww3.sinaimg.cn/mw1024/9d770e15jw1eoe2jm8xcbj20hq0eo3zy.jpg,龍爪角出現大量人潮前往觀看<strong>赤潮</strong>,"(638, 528)",2641825301,澳門同樂會,http://tp2.sinaimg.cn/2641825301/180/5625600118/1,"(50, 50)",82,1000,22.198745,113.543873,Unknown,澳门,m,192,None,1,80,17,algalbloom
10,http://ww1.sinaimg.cn/mw1024/3bfde080jw1eo75pre5moj20sg0sgwm2.jpg,广东珠海海水变红色！～<strong>赤潮</strong>瀑发！  http://t.cn/RZa8,"(1024, 1024)",1006493824,丹子2013,http://ww3.sinaimg.cn/crop.0.0.320.320.1024/3bfde080jw8eqsxp82t0cj208w08wglt.jpg,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,m,407,None,1156,80,24,algalbloom
11,http://ww4.sinaimg.cn/mw1024/63bd1398jw1eo6pxy2l13j20b4073mxk.jpg,此次<strong>赤潮</strong>从1月4日开始，7日,"(400, 255)",1673335704,长亭四分体,http://tp1.sinaimg.cn/1673335704/180/5606601981/1,"(50, 50)",42,8,31.035423,112.199265,Jīngmén 荆门,湖北 荆门,m,None,None,None,80,13,algalbloom
12,http://ww4.sinaimg.cn/mw1024/c0a10252jw1eoueuleg4fj20j60d6t9t.jpg,分享了一篇文章：《战士<strong>赤潮</strong>攻略以及通关体会》 http:,"(690, 474)",3231777362,圣伦圣慰组合-wilson-wendy,http://tp3.sinaimg.cn/3231777362/180/5661009003/1,"(50, 50)",400,24,48.379433,31.16558,Wūkèlán 乌克兰,海外 乌克兰,m,32,None,1314,80,19,algalbloom
13,http://ww2.sinaimg.cn/mw1024/76760966gw1eo8ab4myiwj20m80ergpy.jpg,珠海海域现<strong>赤潮</strong> 海水变成粉红色。海鸟在,"(800, 531)",1987447142,MM_田明,http://tp3.sinaimg.cn/1987447142/180/5606031479/1,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,m,546,None,279,80,27,algalbloom
14,http://ww1.sinaimg.cn/mw1024/3bfde080jw1eo75mpg80oj20sg0sgwj1.jpg,广东珠海瀑发<strong>赤潮</strong>海水变红色！  http://t.c,"(1024, 1024)",1006493824,丹子2013,http://ww3.sinaimg.cn/crop.0.0.320.320.1024/3bfde080jw8eqsxp82t0cj208w08wglt.jpg,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,m,407,None,1156,80,24,algalbloom
15,http://ww1.sinaimg.cn/mw1024/be48fefegw1eo6ov7v2rcj20tb0hnwiu.jpg,广东珠海现<strong>赤潮</strong>似“红色丝带”。广东省珠,"(1024, 616)",3192454910,杭州汇丰国际旅行社,http://tp3.sinaimg.cn/3192454910/180/40025015404/0,"(50, 50)",33,1,30.274089,120.155069,Hángzhōu 杭州,浙江 杭州,f,119,None,2,80,19,algalbloom
16,http://ww2.sinaimg.cn/mw1024/6d3d9b99jw1eo4h364gwoj218g0xcajj.jpg,是那样的；珠海渔女一代的<strong>赤潮</strong>是那样的〜,"(1024, 768)",1832754073,射手座的王旺旺,http://ww3.sinaimg.cn/crop.0.0.511.511.1024/6d3d9b99jw8el8kre8njgj20e70e8dgy.jpg,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,f,48,None,320,80,23,algalbloom
17,http://ww4.sinaimg.cn/mw1024/476a2eadjw1eoqu3m1z93j20m80etwfi.jpg,22日，香港三门仔海滨附近<strong>赤潮</strong>夜景。  REUTERS/Tyrone S,"(800, 533)",1198141101,Iky-Light,http://ww1.sinaimg.cn/crop.238.0.832.832.1024/476a2eadjw8eqwr0cp7ujj20zk0sg10y.jpg,"(50, 50)",35,1,26.074508,119.296494,Fúzhōu 福州,福建 福州,m,21,None,6038,80,24,algalbloom
18,http://ww2.sinaimg.cn/mw1024/c2973d88jw1eo7xdrdusfj20go0aijsc.jpg,珠海現「<strong>赤潮</strong>」像紅色絲帶　海水變粉近,"(600, 378)",3264691592,余愚娛餘愉愚,http://ww3.sinaimg.cn/crop.0.0.690.690.1024/c2973d88jw8eoo6n7jn6rj20j60j6te9.jpg,"(50, 50)",71,8,25.0821655,121.5861875,Táiběixiàn 台北县,台湾 新北市,f,541,None,122,80,22,algalbloom
