Index,image_url,image_description,image_size,userID,screenname,avatar_url,avatarimage_size,Province,City,Lat,Lon,CityName,Location,Gender,Followers_count,Friends_count,Favourites_count,Credit_Score,Urank,Category
1,http://ww1.sinaimg.cn/mw1024/c0788b86jw1eqs5jmf7svj20go0p5q6g.jpg,又是一年花落时（并不是化学<strong>污染</strong>,"(600, 905)",3229125510,小野妹子学吐槽,http://ww1.sinaimg.cn/crop.0.0.118.118.1024/c0788b86jw8efz2k73zcmj203a03aglf.jpg,"(50, 50)",400,1000,26.804413,104.012075,Unknown,海外,m,2,None,6,80,25,pollution
2,http://ww4.sinaimg.cn/mw1024/67301515jw1erh2g9q3i8j20m80m8790.jpg,hris Evans# 谢谢大家把素材转到我首页新一波精神<strong>污染</strong>,"(800, 800)",1731204373,Je2sica爱蛋蛋丁巨巨,http://ww1.sinaimg.cn/crop.0.0.750.750.1024/67301515jw8erh2jtplbaj20ku0ku754.jpg,"(50, 50)",400,1000,26.804413,104.012075,Unknown,海外,f,233,None,524,80,18,pollution
3,http://ww2.sinaimg.cn/mw1024/beca02fagw1erex9f6urbj20ay0az0t4.jpg,模拟 个性胸针。亚克力精神<strong>污染</strong>。售价￥3,"(394, 395)",3200910074,玩具怪受,http://ww3.sinaimg.cn/crop.31.42.430.430.1024/beca02fatw1egubt7swqqj20dw0dvwgk.jpg,"(50, 50)",44,1000,23.132191,113.266531,Unknown,广东,m,16,None,None,80,17,pollution
4,http://ww4.sinaimg.cn/mw1024/67f1488djw1erasubzd7gj20hs0hsdib.jpg,今天上海<strong>污染</strong>指数很高、大家注意身体,"(640, 640)",1743865997,RIGELDAVIS程颖婕,http://ww1.sinaimg.cn/crop.0.1.750.750.1024/67f1488djw8emxqhdxbl7j20ku0kw766.jpg,"(50, 50)",31,1000,31.230393,121.473704,Unknown,上海,f,268,None,1,80,22,pollution
5,http://ww3.sinaimg.cn/mw1024/7f22e34djw1erdgqzgvjdj20h80cagnz.jpg,封建，迷信，<strong>污染</strong>的源头。,"(620, 442)",2132992845,唤贝征,http://ww1.sinaimg.cn/crop.0.0.600.600.1024/7f22e34djw8elnmair5b4j20go0gowfm.jpg,"(50, 50)",31,1000,31.230393,121.473704,Unknown,上海,m,1844,None,734,80,22,pollution
6,http://ww4.sinaimg.cn/mw1024/6d23a7d7jw1erbb7cdi49j20qo0qo7pj.jpg,终于筹齐9张了 精神<strong>污染</strong>,"(960, 960)",1831053271,夏目Seihara,http://ww3.sinaimg.cn/crop.0.0.511.511.1024/6d23a7d7jw8eres13ext5j20e80e7weq.jpg,"(50, 50)",51,13,30.837888,106.110595,Nánchōng 南充,四川 南充,m,296,None,242,80,25,pollution
7,http://ww1.sinaimg.cn/mw1024/65928d0fgw1er77np3w41j20b408cglx.jpg,国务院印发水<strong>污染</strong>防治行动计划，“水十条”,"(400, 300)",1704103183,金融界网站,http://tp4.sinaimg.cn/1704103183/180/40022125436/0,"(50, 50)",11,1000,39.9042140,116.4074130,Unknown,北京,f,250,None,18,80,27,pollution
8,http://ww3.sinaimg.cn/mw1024/46fde771jw1eq7dscxmpmj20ku0rsdld.jpg,空气<strong>污染</strong>严重，出门要戴防护口罩哦,"(750, 1000)",1191044977,李小璐Super璐,http://ww2.sinaimg.cn/crop.0.0.512.512.1024/46fde771jw8efc13mb40rj20e80e8myb.jpg,"(50, 50)",11,1000,39.9042140,116.4074130,Unknown,北京,f,276,None,295,80,28,pollution
9,http://ww3.sinaimg.cn/mw1024/baaebd25gw1er4y4r3uioj21081gg7br.jpg,<strong>污染</strong>者阿克蒙德。古尔丹和玛诺,"(1024, 1483)",3132013861,GA_麦德三世,http://tp2.sinaimg.cn/3132013861/180/40013225321/0,"(50, 50)",33,5,30.894348,120.086823,Húzhōu 湖州,浙江 湖州,f,6,None,4,80,17,pollution
10,http://ww2.sinaimg.cn/mw1024/7902a327jw1er26cyrqnkj218g0xcql6.jpg,不差，BBC连续两天发出空气<strong>污染</strong>警告！ |A4,"(1024, 768)",2030215975,自由的Cyberomeo,http://tp4.sinaimg.cn/2030215975/180/5600564074/1,"(50, 50)",400,17,-40.900557,174.885971,Xīnxīlán 新西兰,海外 新西兰,m,355,None,1072,80,25,pollution
12,http://ww1.sinaimg.cn/mw1024/b5286023jw1eqz2ayysz5j20sg0sgdnk.jpg,新精神<strong>污染</strong>,"(1024, 1024)",3039322147,未咲-揍友客,http://ww4.sinaimg.cn/crop.0.0.748.748.1024/b5286023jw8erdhbhcsc9j20ks0ksabb.jpg,"(50, 50)",400,2,55.378051,-3.435973,Yīngguó 英国,海外 英国,f,440,None,883,80,20,pollution
14,http://ww3.sinaimg.cn/mw1024/775fa6fbjw1eqx2z2zg5rj20nq0hsq4h.jpg,的雨都是黑色的，这还不叫<strong>污染</strong>，你也是蛮有常识的@央视新,"(854, 640)",2002757371,ltkeng,http://ww2.sinaimg.cn/crop.0.0.852.852.1024/775fa6fbjw8ejzrxpplzwj20no0nojsd.jpg,"(50, 50)",35,6,24.513321,117.647363,Zhāngzhōu 漳州,福建 漳州,m,182,None,1,80,19,pollution
16,http://ww1.sinaimg.cn/mw1024/914c0b2ajw1eque07ltraj20xc0p0alp.jpg,山阳县奸商千方百计<strong>污染</strong>南水北调水源（多图） htt,"(1024, 768)",2437679914,坚强中国心,http://tp3.sinaimg.cn/2437679914/180/39997241091/1,"(50, 50)",61,10,33.870422,109.940477,Shāng Luò 商洛,陕西 商洛,m,92,None,15,80,11,pollution
17,http://ww2.sinaimg.cn/mw1024/bbcf6a50jw1eqsqms4ti7j20mb0jm0v8.jpg,画完了，<strong>污染</strong>首页。不能我一个人瞎。,"(803, 706)",3150932560,第七定义羽姬,http://ww2.sinaimg.cn/crop.0.0.720.720.1024/bbcf6a50jw8eq3ddga13xj20k00k0gnb.jpg,"(50, 50)",33,1,30.274089,120.155069,Hángzhōu 杭州,浙江 杭州,f,409,None,111,80,14,pollution
18,http://ww2.sinaimg.cn/mw1024/80889a1djw1eqsgilwxgbj21w02ionpd.jpg,清澈见底的海水，没有<strong>污染</strong>，真好,"(1024, 1365)",2156435997,权怡凤,http://tp2.sinaimg.cn/2156435997/180/5633434337/0,"(50, 50)",400,11,1.352083,103.819836,Xīnjiāpō 新加坡,海外 新加坡,f,53,None,261,80,17,pollution
19,http://ww1.sinaimg.cn/mw1024/6478cf23jw1eqrgsapg0zj20dw09dmxe.jpg,我是来精神<strong>污染</strong>首页的 http://t.cn/RAc7U,"(500, 337)",1685638947,抖小西,http://ww2.sinaimg.cn/crop.0.0.420.420.1024/6478cf23jw1em6470atlcj20c80c83zi.jpg,"(50, 50)",81,2,22.2730219,114.1498806,Zhōngxīqū 中西区,香港 中西区,f,265,None,1,80,24,pollution
