Index,image_url,image_description,image_size,userID,screenname,avatar_url,avatarimage_size,Province,City,Lat,Lon,CityName,Location,Gender,Followers_count,Friends_count,Favourites_count,Credit_Score,Urank,Category
1,http://ww2.sinaimg.cn/mw1024/639a7bf1jw1erbqb05bazj207x07xglv.jpg,排污】  http://t.cn/RAOVhNy (分享自@东南快报),"(285, 285)",1671068657,东南快报,http://ww3.sinaimg.cn/crop.17.4.581.581.1024/639a7bf1gw1egdmk8l5joj20go0gqq4w.jpg,"(50, 50)",35,1,26.074508,119.296494,Fúzhōu 福州,福建 福州,m,877,None,232,80,28,sewage
2,http://ww1.sinaimg.cn/mw1024/77b0abb3jw1er0a2u20qaj20f00qoq4p.jpg,！徐钢真“牛”这么明目张胆的排污！@徐州同城会,"(540, 960)",2008066995,陈洁good,http://ww1.sinaimg.cn/crop.0.0.640.640.1024/77b0abb3jw8eeldbjilbmj20hs0hswgw.jpg,"(50, 50)",32,3,34.20475,117.284067,Xúzhōu 徐州,江苏 徐州,f,35,None,1,80,17,sewage
3,http://ww4.sinaimg.cn/mw1024/6eebee84jw1eqfnxzkailj20dc0hsmza.jpg,排污水，能干净的了江城？@武汉大学绿舟环保协会,"(480, 640)",1860955780,岁月是一场有去无回的旅行爱你,http://ww4.sinaimg.cn/crop.0.0.511.511.1024/6eebee84jw8eip948b5nfj20e70e8757.jpg,"(50, 50)",42,1,30.593087,114.305357,Wǔhàn 武汉,湖北 武汉,f,7,None,2,80,16,sewage
4,http://ww2.sinaimg.cn/mw1024/64ed186ajw1eqdmpxrxg0j20xc18gqld.jpg,哈佛大学陶瓷工作室 窑炉排污的设计,"(1024, 1365)",1693259882,乐天陶社郑祎,http://ww2.sinaimg.cn/crop.0.0.640.640.1024/64ed186ajw8ejy3jd1b02j20hs0hsgme.jpg,"(50, 50)",81,2,22.2730219,114.1498806,Zhōngxīqū 中西区,香港 中西区,f,102,None,6,80,21,sewage
5,http://ww1.sinaimg.cn/mw1024/915aa2b3jw1erbbyv6tcqj20hs0buq4s.jpg,深圳一企业排污现场。。。。。,"(640, 426)",2438636211,大写真L,http://tp4.sinaimg.cn/2438636211/180/5618055616/1,"(50, 50)",32,4,31.810077,119.974454,Chángzhōu 常州,江苏 常州,m,1353,None,102,80,21,sewage
6,http://ww3.sinaimg.cn/mw1024/6e105b35jw1eqb6hu9se3j20np0hswfu.jpg,保志愿者协会 这算不算违法排污呢？ |蔡屋围南街,"(853, 640)",1846565685,-annybaby,http://tp2.sinaimg.cn/1846565685/180/1289103429/0,"(50, 50)",44,3,22.543099,114.057868,Shēnzhèn 深圳,广东 深圳,f,101,None,9,80,19,sewage
7,http://ww1.sinaimg.cn/mw1024/4d15af02jw1er89ixnprkj20dc0hsdj3.jpg,又见濠河排污口,"(480, 640)",1293266690,三人同日去踏靑,http://tp3.sinaimg.cn/1293266690/180/5623122870/0,"(50, 50)",32,6,31.979997,120.894324,Nántōng 南通,江苏 南通,f,22,None,11,80,13,sewage
8,http://ww4.sinaimg.cn/mw1024/5504c421jw1er586mk784j20fm0kuwfm.jpg,排污站_运城城建吧_百度贴吧 http://t.cn/RAKoTLm,"(562, 750)",1426375713,bnc9595,http://ww1.sinaimg.cn/crop.0.0.480.480.1024/5504c421jw8edqza551qaj20dc0dc74i.jpg,"(50, 50)",14,8,35.026372,111.007324,Yùnchéng 运城,山西 运城,m,775,None,49,80,22,sewage
9,http://ww1.sinaimg.cn/mw1024/c10ef580jw1er3ksliz1bj20m80moacq.jpg,濟污染，政府排污有責！!!! http://t.cn/RASv6iY,"(800, 816)",1068683630,中华微声音,http://ww2.sinaimg.cn/crop.86.7.450.450.1024/3fb2d16etw1eintr2fp02j20f90kujwa.jpg,"(50, 50)",11,1,39.928584,116.416373,Dōngchéngqū 东城区,北京 东城区,f,433,None,215,80,26,sewage
10,http://ww1.sinaimg.cn/mw1024/7b18f857jw1er1fa5zhgsj20hs0dcacz.jpg,爆裂水管处就是这个排污口的位置,"(640, 480)",2065234007,贵州民族大学绿科环保协会,http://tp4.sinaimg.cn/2065234007/180/5614949482/1,"(50, 50)",52,1,26.647449,106.630143,Guìyáng 贵阳,贵州 贵阳,m,325,None,4,80,13,sewage
