Index,image_url,image_description,image_size,userID,screenname,avatar_url,avatarimage_size,Province,City,Lat,Lon,CityName,Location,Gender,Followers_count,Friends_count,Favourites_count,Credit_Score,Urank,Category
2,http://ww3.sinaimg.cn/mw1024/6deae9fbgw1er3uzjpmefj21kw1kwgsy.jpg,#每日素材# 绿色<strong>烟雾</strong>矢量素材http://t.cn/RAoU,"(1024, 1024)",1844111867,视觉中国下吧,http://tp4.sinaimg.cn/1844111867/180/1288625963/0,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,f,45,None,None,80,18,smog
3,http://ww1.sinaimg.cn/mw1024/92b79009jw1eqvo2kvedyj20hs0npmy7.jpg,看看我大附中的<strong>烟雾</strong>缭绕。。。@山东师范大学附,"(640, 853)",2461503497,-未央新飖-AWQ,http://tp2.sinaimg.cn/2461503497/180/22824183319/0,"(50, 50)",37,1,36.665282,116.994917,Jǐnán 济南,山东 济南,f,187,None,2,80,14,smog
4,http://ww3.sinaimg.cn/mw1024/97410d6bjw1erh43za2usj20hs0hs75w.jpg,<strong>烟雾</strong>中的女妖 生日快乐,"(640, 640)",2537622891,范豆花,http://ww4.sinaimg.cn/crop.0.0.640.640.1024/97410d6bjw8el5quoucv2j20hs0hst9v.jpg,"(50, 50)",32,5,31.298886,120.585316,Sūzhōu 苏州,江苏 苏州,f,69,None,6,80,20,smog
6,http://ww4.sinaimg.cn/mw1024/6cd46cf9jw1erfy6wncfcj20hs0nz75w.jpg,吸引我的竟然是在灯光下的<strong>烟雾</strong>。,"(640, 863)",1825860857,NONG十MEI,http://ww2.sinaimg.cn/crop.0.0.720.720.1024/6cd46cf9jw8erbcuxv4pcj20k00k0dh1.jpg,"(50, 50)",44,1,23.129163,113.264435,Guǎngzhōu 广州,广东 广州,f,153,None,503,80,19,smog
7,http://ww4.sinaimg.cn/mw1024/c3f1d1d2jw1erfl50vmvoj20dc0hs0u8.jpg,察两个星期 每天不间断排放<strong>烟雾</strong> 求清除 |霞飞路,"(480, 640)",3287405010,思想就像内裤一样有内涵,http://ww4.sinaimg.cn/crop.0.1.510.510.1024/c3f1d1d2jw8emmwey65wyj20e60e8t9i.jpg,"(50, 50)",33,3,27.994267,120.699367,Wēnzhōu 温州,浙江 温州,f,49,None,1,80,15,smog
8,http://ww2.sinaimg.cn/mw1024/677e0949jw1erfagtf2a6j20go0dcjrw.jpg,你喜欢抽烟吗<strong>烟雾</strong>缭绕很好玩吗你自己玩吧,"(600, 480)",1736313161,萌萌不想站起来_,http://ww4.sinaimg.cn/crop.0.0.720.720.1024/677e0949jw8era19cod4zj20k00k0gmi.jpg,"(50, 50)",35,3,25.454085,119.007777,Pútián 莆田,福建 莆田,f,183,None,938,80,18,smog
10,http://ww2.sinaimg.cn/mw1024/a073a28ejw1erelpiu3ijj20l311i0zk.jpg,纵然<strong>烟雾</strong>缭绕  终会各有出路,"(759, 1350)",2691932814,青青青美丽,http://ww3.sinaimg.cn/crop.0.0.1080.1080.1024/a073a28ejw8eqvt60uld4j20u00u0q6b.jpg,"(50, 50)",100,1000,,,Unknown,其他,f,81,None,61,80,20,smog
11,http://ww4.sinaimg.cn/mw1024/6cc10591jw1erec12hesjj20p018g138.jpg,<strong>烟雾</strong>缭绕如仙境~ |厦门万石植.,"(900, 1600)",1797250042,小铲子铲铲,http://ww2.sinaimg.cn/crop.0.0.180.180.1024/6b1fdbfajw8er1w0114v0j2050050746.jpg,"(50, 50)",32,1,32.060255,118.796877,Nánjīng 南京,江苏 南京,f,152,None,366,80,26,smog
12,http://ww1.sinaimg.cn/mw1024/751bc9cbjw1erdlorjupsj20fe0kitbz.jpg,大扶国<strong>烟雾</strong>山庙会,"(554, 738)",1964755403,涵兵,http://ww4.sinaimg.cn/crop.0.1.397.397.1024/751bc9cbtw1ei8m8y6o7vj20b40du3zv.jpg,"(50, 50)",41,1,34.7466,113.625368,Zhèngzhōu 郑州,河南 郑州,m,33,None,None,80,17,smog
13,http://ww3.sinaimg.cn/mw1024/69bc4c6djw1erdj92uiezj20hs0bumz6.jpg,人来人往 <strong>烟雾</strong>弥漫 纽约/美国 （阅读全文,"(640, 426)",1773948013,飞鱼Vision,http://tp2.sinaimg.cn/1773948013/180/40015048663/1,"(50, 50)",31,12,31.112842,121.381672,Mǐnhángqū 闵行区,上海 闵行区,m,277,None,251,80,20,smog
14,http://ww3.sinaimg.cn/mw1024/8665b101jw1erdc4lv5djj20hs0dcq55.jpg,我去，公交车拖着<strong>烟雾</strong>就开过来了，车上人全下来,"(640, 480)",2254811393,凸小三三三三三,http://ww3.sinaimg.cn/crop.117.1.480.480.1024/8665b101gw1ea04893h99j20m80etq69.jpg,"(50, 50)",41,10,34.035506,113.85264,Xǔchāng 许昌,河南 许昌,f,37,None,5161,80,23,smog
15,http://ww1.sinaimg.cn/mw1024/74f24247jw1erd47u0qkij20qo0zkwmm.jpg,终然<strong>烟雾</strong>缭绕，终会各有出路，不在,"(960, 1280)",1962033735,叹承,http://tp4.sinaimg.cn/1962033735/180/40011406523/0,"(50, 50)",44,1,23.129163,113.264435,Guǎngzhōu 广州,广东 广州,f,69,None,1,80,14,smog
16,http://ww2.sinaimg.cn/mw1024/94d93525jw1ercxzoolv5j22io1w0hdu.jpg,运动场天然的舞台<strong>烟雾</strong>效果，犹如仙境。美哉！,"(1024, 768)",2497262885,刘明姚翔,http://ww4.sinaimg.cn/crop.0.0.512.512.1024/94d93525jw8eoyv6wvfo2j20e80e8t9m.jpg,"(50, 50)",11,1000,39.9042140,116.4074130,Unknown,北京,m,313,None,32,80,19,smog
17,http://ww1.sinaimg.cn/mw1024/7db2ad2ejw1ercpfz6h8kj20dc0hswfl.jpg,<strong>烟雾</strong>弥漫 我们开始 #關於修行#,"(480, 640)",2108861742,Chuck_青宏,http://ww1.sinaimg.cn/crop.0.0.512.512.1024/7db2ad2ejw8er7crx6yysj20e80e8jse.jpg,"(50, 50)",100,1000,,,Unknown,其他,m,279,None,4914,80,19,smog
18,http://ww2.sinaimg.cn/mw1024/9b9f26fdjw1ercgvmd1dyj20xc18ganm.jpg,<strong>烟雾</strong>弥漫到烟消云散再到,"(1024, 1365)",2610898685,PUNKBITCH--INTHEDEPTHS,http://ww2.sinaimg.cn/crop.0.0.640.640.1024/9b9f26fdjw8eq98rbl8uvj20hs0hsta8.jpg,"(50, 50)",53,29,25.606486,100.267638,Dàlǐ 大理,云南 大理,f,209,None,2,80,17,smog
19,http://ww3.sinaimg.cn/mw1024/b9017929jw1ercblu1w5pj20xc18gtpn.jpg,佛手倒流香，<strong>烟雾</strong>如流水一般留下 |五棵松,"(1024, 1365)",3103881513,清风明月文玩阁,http://ww4.sinaimg.cn/crop.0.0.750.750.1024/b9017929jw8eqq4cxhzqjj20ku0kvq4h.jpg,"(50, 50)",11,8,39.95971,116.298012,Hǎidiànqū 海淀区,北京 海淀区,f,15,None,4,80,11,smog
20,http://ww2.sinaimg.cn/mw1024/988b9b51jw1erc6nhkb0lj20hs0dcq4r.jpg,雾化器，多种烟油，看着吐<strong>烟雾</strong>，过瘾呀,"(640, 480)",2559286097,丑八怪和哭八精,http://ww2.sinaimg.cn/crop.0.0.512.512.1024/988b9b51jw8eo43iiijvmj20e80e8mxj.jpg,"(50, 50)",46,2,18.252847,109.511909,Sānyà 三亚,海南 三亚,f,33,None,1,80,11,smog
21,http://ww2.sinaimg.cn/mw1024/72a49cdfjw1erc0t37sgjj21sw37kqv5.jpg,之前工信部的丑图确实是个<strong>烟雾</strong>弹。 |工人体育场...,"(1024, 1824)",1923390687,叫兽龙默言,http://ww1.sinaimg.cn/crop.0.16.349.349.1024/72a49cdfjw1ekn9ylkresj209r0cgta3.jpg,"(50, 50)",100,1000,,,Unknown,其他,m,280,None,198,80,25,smog
22,http://ww3.sinaimg.cn/mw1024/a77e35c6jw1erbopgg3wej20d90hsgni.jpg,<strong>烟雾</strong>笼罩下的平昌白衣。,"(477, 640)",2810066374,直播巴中,http://ww1.sinaimg.cn/crop.0.0.512.512.1024/a77e35c6jw8eqzjnyxmlcj20e80e8glv.jpg,"(50, 50)",51,19,31.865236,106.744729,Bāzhōng 巴中,四川 巴中,m,588,None,12,80,18,smog
23,http://ww4.sinaimg.cn/mw1024/cfb77033jw1erb9rpo4s4j216o16oh31.jpg,纵然<strong>烟雾</strong>缭绕 终会各有出路,"(1024, 1024)",3484905523,hhhhhhll_,http://ww1.sinaimg.cn/crop.0.0.640.640.1024/cfb77033jw8eraxeqo2z3j20hs0hst9i.jpg,"(50, 50)",43,1,28.228209,112.938814,Chángshā 长沙,湖南 长沙,f,66,None,8,80,14,smog
24,http://ww1.sinaimg.cn/mw1024/6f9d776fjw1erb3t5n4pjj20c80hsmya.jpg,风火雷电不锈钢电子烟超大<strong>烟雾</strong> 单支装 五色,"(440, 640)",1872590703,穆头鱼儿,http://ww3.sinaimg.cn/crop.0.0.640.640.1024/6f9d776fjw8eq91qawkp9j20hs0hsmy3.jpg,"(50, 50)",41,1000,34.76819,113.687228,Unknown,河南,m,182,None,59,80,16,smog
25,http://ww1.sinaimg.cn/mw1024/64d6c065jw1erb1o3xpooj218g0xcgu3.jpg,《笼子》：李晖|绿色激光、<strong>烟雾</strong>,"(1024, 768)",1691795557,昆西HU,http://ww4.sinaimg.cn/crop.28.30.1237.1237.1024/64d6c065gw1enfigou8x5j20zv0zy12g.jpg,"(50, 50)",31,4,31.188523,121.436526,Xúhuìqū 徐汇区,上海 徐汇区,f,396,None,1535,80,26,smog
