Index,image_url,image_description,image_size,userID,screenname,avatar_url,avatarimage_size,Province,City,Lat,Lon,CityName,Location,Gender,Followers_count,Friends_count,Favourites_count,Credit_Score,Urank,Category
1,http://ww4.sinaimg.cn/mw1024/4d464b8bjw1eq6o2dwfa0j20p018gn3p.jpg,<strong>#随手拍污染源#路边都是厚厚的煤灰</strong>,"(900, 1600)",1296452491,小粗腿楠楠,http://ww1.sinaimg.cn/crop.0.0.720.720.1024/4d464b8bjw8epfy5kaipaj20k00k0dhd.jpg,"(50, 50)",41,8,35.215893,113.241823,Jiāozuò 焦作,河南 焦作,f,174,None,129,80,28,takepollutionpics
2,http://ww3.sinaimg.cn/mw1024/73d1f212jw1eq7fvn651jj20dc0hs766.jpg,<strong>#随手拍污染#今日西安，重度污染</strong>,"(480, 640)",1943138834,领航员BG9DUS,http://ww1.sinaimg.cn/crop.0.0.960.960.1024/73d1f212jw8eorvlpt2szj20qo0qo44a.jpg,"(50, 50)",61,1,34.264987,108.944269,Xī'ān 西安,陕西 西安,m,234,None,6,80,19,takepollutionpics
3,http://ww2.sinaimg.cn/mw1024/7501a599jw1epwtsr2vd4j20hs0hsabl.jpg,<strong>#随手拍污染#新都</strong>,"(640, 640)",1963042201,喜欢天然呆是吃货,http://ww2.sinaimg.cn/crop.0.0.640.640.1024/7501a599jw8epkrcdiimsj20hs0ht0ti.jpg,"(50, 50)",51,1,30.658601,104.064856,Chéngdū 成都,四川 成都,f,122,None,68,80,20,takepollutionpics
4,http://ww3.sinaimg.cn/mw1024/a16ee947jw1epvcuzb5bjj20xc18gtnz.jpg,<strong>#随手拍污染#</strong>,"(1024, 1365)",2708400455,阿阿阿阿阿阿唐思密达,http://ww3.sinaimg.cn/crop.0.0.1136.1136.1024/a16ee947jw8enxxigxgb9j20vk0vk3zx.jpg,"(50, 50)",15,3,39.690462,106.822809,Wūhǎi 乌海,内蒙古 乌海,f,111,None,7,80,14,takepollutionpics
5,http://ww2.sinaimg.cn/mw1024/450a9561jw1epuzpgssb2j20np0hswfa.jpg,<strong>#随手拍污染#@柴静看见 |三环线</strong>,"(853, 640)",1158321505,MISS喵喵喵喵喵喵喵喵喵喵,http://ww4.sinaimg.cn/crop.0.0.1080.1080.1024/450a9561jw8emfe9a9cfhj20u00u040t.jpg,"(50, 50)",43,1,28.228209,112.938814,Chángshā 长沙,湖南 长沙,f,144,None,31,80,25,takepollutionpics
6,http://ww1.sinaimg.cn/mw1024/896dc5e1jw1epukessqb2j21kw23uh9n.jpg,<strong>#随手拍污染# 废弃的黑烟囱</strong>,"(1024, 1365)",2305672673,Marcello玳,http://ww2.sinaimg.cn/crop.0.0.1080.1080.1024/896dc5e1jw8er6ie2v7f9j20u00u0tbp.jpg,"(50, 50)",36,1,28.68316,115.858089,Nánchāng 南昌,江西 南昌,m,1509,None,293,80,23,takepollutionpics
8,http://ww1.sinaimg.cn/mw1024/b9cf0d99jw1ejojedo2w7j20hs0npq3a.jpg,污染源真是可怕的冲动。。。（于九江途中）,"(640, 853)",3117354393,环科巢小博,http://ww1.sinaimg.cn/crop.50.0.300.300.1024/b9cf0d99jw8eacazgqvamj20b408cq3c.jpg,"(50, 50)",32,3,34.20475,117.284067,Xúzhōu 徐州,江苏 徐州,f,153,None,8,80,15,takepollutionpics
10,http://ww4.sinaimg.cn/mw1024/c031e599jw1er76kyl9uyj20f00qoaaz.jpg,学院江北校区。请问@陕西环保 这算污染不？,"(540, 960)",3224495513,安康直播,http://ww3.sinaimg.cn/crop.3.3.1177.1177.1024/c031e599jw1e79u0u2eomj20wv0wvwnw.jpg,"(50, 50)",61,9,32.684781,109.029303,Ānkāng 安康,陕西 安康,m,362,None,7,80,21,takepollutionpics
13,http://ww3.sinaimg.cn/mw1024/6ad2f227jw1eqcqver46hj21ej1ejatz.jpg,#随手拍身边精神污染# 哈哈哈哈 |錦中街,"(1024, 1024)",1792209447,小挫馨,http://ww1.sinaimg.cn/crop.0.0.750.750.1024/6ad2f227jw8ereihiia1wj20ku0kuabs.jpg,"(50, 50)",35,2,24.479836,118.08942,Xiàmén 厦门,福建 厦门,f,57,None,1098,80,22,takepollutionpics
14,http://ww3.sinaimg.cn/mw1024/a21736e9jw1eq45iogch3j20o00hs0ti.jpg,林，其实不以为然，空气就是那么污浊。。。,"(864, 640)",2719430377,搞颠你就走,http://ww1.sinaimg.cn/crop.0.0.1080.1080.1024/a21736e9jw8epn3bmmhaoj20u00u0wfo.jpg,"(50, 50)",45,3,25.273566,110.290195,Guìlín 桂林,广西 桂林,m,43,None,180,80,14,takepollutionpics
