Index,image_url,image_description,image_size,userID,screenname,avatar_url,avatarimage_size,Province,City,Lat,Lon,CityName,Location,Gender,Followers_count,Friends_count,Favourites_count,Credit_Score,Urank,Category
1,http://ww4.sinaimg.cn/mw1024/5938a13ajw1er6enns73hj20dc0hsmy4.jpg,此刻北京<strong>黄尘</strong>敝日 |北五环,"(480, 640)",1496883514,凯雷,http://tp3.sinaimg.cn/1496883514/180/1279879247/1,"(50, 50)",11,1000,39.9042140,116.4074130,Unknown,北京,m,1280,None,4401,80,27,yellowdust
2,http://ww1.sinaimg.cn/mw1024/be7d5015jw1er9zbptluij20x718ggrm.jpg,''<strong>黄尘</strong>清水三山下，变更千年如走,"(1024, 1371)",3195883541,Tomas_旋旋,http://ww4.sinaimg.cn/crop.0.0.512.512.1024/be7d5015jw8elhewdrjpzj20e80e8jrh.jpg,"(50, 50)",32,6,31.979997,120.894324,Nántōng 南通,江苏 南通,f,83,None,22,80,17,yellowdust
3,http://ww1.sinaimg.cn/mw1024/67922d7bjw1er6llooumbj20ku112dkm.jpg,滚滚<strong>黄尘</strong>,"(750, 1334)",1737633147,闷蹾儿,http://tp4.sinaimg.cn/1737633147/180/5662005154/0,"(50, 50)",51,1,30.658601,104.064856,Chéngdū 成都,四川 成都,f,15,None,298,80,19,yellowdust
4,http://ww3.sinaimg.cn/mw1024/6e52a51fjw1er6gele1z3j218g18gagv.jpg,沙尘暴来袭，北京此时陷入<strong>黄尘</strong>中......,"(1024, 1024)",1850909983,美食皇后A,http://tp4.sinaimg.cn/1850909983/180/5663933055/0,"(50, 50)",11,1,39.928584,116.416373,Dōngchéngqū 东城区,北京 东城区,f,1044,None,321,80,15,yellowdust
5,http://ww1.sinaimg.cn/mw1024/615576afjw1er6g3kmw7wj20xc18gakf.jpg,<strong>黄尘</strong>弥漫，牛魔王驾临的节奏,"(1024, 1365)",1632990895,罗小卫,http://ww2.sinaimg.cn/crop.27.30.378.378.1024/615576afgw1eenoat3ud6j20by0bygmn.jpg,"(50, 50)",11,5,39.921034,116.443188,Cháoyángqū 朝阳区,北京 朝阳区,m,567,None,6,80,23,yellowdust
6,http://ww3.sinaimg.cn/mw1024/974e7889jw1er6etf5lo2j218g18g7hj.jpg,陷入了<strong>黄尘</strong>之中,"(1024, 1024)",2538502281,今年我二十岁了,http://ww2.sinaimg.cn/crop.0.0.640.640.1024/974e7889jw8ejpald6cpdj20hs0hs0tf.jpg,"(50, 50)",11,8,39.95971,116.298012,Hǎidiànqū 海淀区,北京 海淀区,m,64,None,26,80,15,yellowdust
7,http://ww2.sinaimg.cn/mw1024/81274bd8jw1equlkyamp0j20dc0hsmzb.jpg,肠处 音容应在此地下 湮没<strong>黄尘</strong>多少春 |温暖,"(480, 640)",2166836184,波普主义者,http://ww3.sinaimg.cn/crop.0.0.1080.1080.1024/81274bd8jw8efvssjnn2gj20u00u00v3.jpg,"(50, 50)",61,1,34.264987,108.944269,Xī'ān 西安,陕西 西安,f,6,None,155,80,19,yellowdust
8,http://ww4.sinaimg.cn/mw1024/674bde37jw1eqldr4n34wj20xc18ggxy.jpg,滚滚<strong>黄尘</strong>袭津门！,"(1024, 1365)",1733025335,知天命已,http://tp4.sinaimg.cn/1733025335/180/1279896173/1,"(50, 50)",12,6,39.167346,117.151534,Hóngqiáoqū 红桥区,天津 红桥区,m,1961,None,105,80,26,yellowdust
9,http://ww4.sinaimg.cn/mw1024/6942df93jw1eqex9wdwmzj20vk0hs4au.jpg,<strong>黄尘</strong>清水三山下，更变千年如走,"(1024, 577)",1765990291,w_cheerist,http://ww3.sinaimg.cn/crop.0.0.640.640.1024/6942df93jw8eqdoegsm6mj20hs0hswex.jpg,"(50, 50)",11,8,39.95971,116.298012,Hǎidiànqū 海淀区,北京 海淀区,f,71,None,26,80,23,yellowdust
10,http://ww4.sinaimg.cn/mw1024/6b061cabjw1eo4gb1xvx6j20dw09o0tr.jpg,鸡牺   马如狗。白纶巾  扑<strong>黄尘</strong>，我辈岂是蓬蒿人？”,"(500, 348)",1795562667,尼布甲尼撒二世,http://ww2.sinaimg.cn/crop.0.0.640.640.1024/6b061cabjw8eqj5dbxwzqj20hs0htq3u.jpg,"(50, 50)",35,1000,26.099933,119.296506,Unknown,福建,m,16,None,4,80,23,yellowdust
11,http://ww3.sinaimg.cn/mw1024/a35bf4aejw1emh9f1nw20j20c807t0u1.jpg,苦辛。 寸心明白日，千里暗<strong>黄尘</strong>。 |知遇,"(440, 281)",2740712622,穿梭在云端,http://ww2.sinaimg.cn/crop.0.0.650.650.1024/a35bf4aejw8emvn5lyuesj20i20i3go3.jpg,"(50, 50)",32,10,32.39421,119.412966,Yángzhōu 扬州,江苏 扬州,m,22,None,392,80,18,yellowdust
12,http://ww1.sinaimg.cn/mw1024/65deb672jw1ejnkrl2nrtj20hs0dc0uf.jpg,走了一段人迹罕至的山路和<strong>黄尘</strong>滚滚的泥路。,"(640, 480)",1709094514,旺旺碎碎朱,http://ww4.sinaimg.cn/crop.0.0.512.512.1024/65deb672jw8egy8ua86l3j20e80e8mxt.jpg,"(50, 50)",33,1,30.274089,120.155069,Hángzhōu 杭州,浙江 杭州,f,72,None,569,80,22,yellowdust
13,http://ww3.sinaimg.cn/mw1024/67892dffjw1eiyofgzihfj20hs0hs42u.jpg,“<strong>黄尘</strong>清水三山下 更变千年如走马,"(640, 640)",1737043455,陈小阳小盆友,http://ww2.sinaimg.cn/crop.0.0.720.720.1024/67892dffjw8eqo5buw8whj20k00k0jsl.jpg,"(50, 50)",51,6,31.126856,104.398021,Déyáng 德阳,四川 德阳,f,432,None,392,80,29,yellowdust
